day_of_year,length_of_day
1.0,32944.768631
2.0,32991.437428000005
3.0,33040.27639
4.0,33092.991172
5.0,33149.538803
6.0,33209.873498999994
7.0,33273.946296
8.0,33341.705333000005
9.0,33413.095934
10.0,33488.060725
11.0,33566.54008200001
12.0,33648.101981
13.0,33732.253566
14.0,33819.561239999995
15.0,33910.084949
16.0,34003.758751999994
17.0,34100.51493599999
18.0,34200.284261
19.0,34302.995995000005
20.0,34408.578282999995
21.0,34516.020105999996
22.0,34626.123552000005
23.0,34738.875988
24.0,34854.204069
25.0,34972.033725999994
26.0,35092.290607
27.0,35214.90040300001
28.0,35339.74430399999
29.0,35465.723987
30.0,35593.390846
31.0,35723.116958
32.0,35854.833524
33.0,35988.472308
34.0,36123.966001
35.0,36261.247896
36.0,36400.003691
37.0,36539.88372
38.0,36681.372753999996
39.0,36823.94253
40.0,36967.767258
41.0,37113.019055000004
42.0,37333.5699
43.0,37482.904879
44.0,37633.129893
45.0,37784.218552
46.0,37935.923985999994
47.0,38088.562064
48.0,38242.227293
49.0,38396.867171
50.0,38552.429795
51.0,38708.86394899999
52.0,38865.868610000005
53.0,39023.009459
54.0,39180.759479
55.0,39339.219211
56.0,39498.341501999996
57.0,39658.079844
58.0,39818.38865
59.0,39979.125537
60.0,40139.909538
61.0,40300.927896
62.0,40462.385679
63.0,40624.242013
64.0,40786.456744
65.0,40948.987828
66.0,41111.480087
67.0,41274.237724
68.0,41437.225292999996
69.0,41600.300529
70.0,41763.502984
71.0,41926.85554800001
72.0,42090.146715999996
73.0,42253.549371
74.0,42417.031605
75.0,42580.561437
76.0,42744.106878000006
77.0,42907.628864
78.0,43071.062216000006
79.0,43234.453766
80.0,43397.776033999995
81.0,43560.99595
82.0,43724.079998
83.0,43887.023109
84.0,44049.845441
85.0,44212.45341
86.0,44374.812537000005
87.0,44536.973034
88.0,44698.879499
89.0,44860.561502
90.0,45022.025322
91.0,45183.108898000006
92.0,45343.77658399999
93.0,45503.993015
94.0,45663.722987999994
95.0,45823.130652
